oaid,nome,lat,lon,elev,type,x_utm32n,y_utm32n
T0356,Trento (Aeroporto),46.016,11.1261,185,TA;TP,664580.0955993516,5098022.85165522
T0357,Male' (Bivacco Marinelli),46.3563,10.8607,2100,TA;TP,643149.5569248679,5135318.448394767
T0360,Passo Tonale,46.2626,10.5968,1875,TA;TP,623057.0120050808,5124463.928162327
T0363,Vallarsa (Malga Boffetal),45.7506,11.1635,1550,TA;TP,668274.8894328773,5068614.333822712
T0364,Vermiglio (Capanna Presena),46.2288,10.5787,2715,TA;TP,621736.9171188568,5120680.479281592
T0365,Cima Presena,46.22,10.5835,3015,TA;TP,622126.5683114685,5119710.093321871
T0366,Peio,46.3644,10.6778,1585,TA;TP,629059.5964784416,5135903.929750771
T0367,Cavalese,46.2848,11.4517,958,TA;TP,688861.9322640474,5128612.963070948
T0368,Monte Bondone (Viote),46.0137,11.0549,1490,TA;TP,659075.2269619907,5097622.553834066
T0369,Passo Sommo,45.9186,11.2061,1360,TA;TP,671072.4522249502,5087369.902662484
T0370,Storo (Lodrone),45.8291,10.5356,392,TA;TP,619270.2127383114,5076206.153102277
T0371,Lases (frana),46.1394,11.2234,705,TA;TP,671728.4895332546,5111939.049635933
T0372,Peio (Crozzi Taviela),46.3842,10.632,2960,TA;TP,625491.2442869056,5138030.282952654
T0373,Daone (Malga Bissina),46.0529,10.5141,1785,TA;TP,617128.006760345,5101039.45276383
T0374,Rovereto (Malga Zugna),45.8076,11.0582,1620,TA;TP,659921.7495585175,5074730.841397235
T0375,Marmolada (Pian Dei Fiacconi),46.4447,11.8608,2676,TA;TP,719732.5351984232,5147435.776077291
T0376,Tesero (Pala De Santa),46.3467,11.5303,2200,TA;TP,694696.772876036,5135680.938474068
T0377,Cima Rosetta,46.2646,11.8331,2685,TA;TP,718321.6201796189,5127348.644162127
T0379,Dro (Marocche),45.9839,10.9413,282,TA;TP,650361.995405564,5094090.88925827
T0380,Pian Palu' (Malga Giumella),46.3409,10.6126,1945,TA;TP,624097.541965978,5133188.550199092
T0381,Vallarsa (Parrocchia),45.7803,11.1228,737,TA;TP,665021.6872073854,5071829.157111161
T0382,Dos Del Sabion (Monte Grual),46.1723,10.8118,1894,TA;TP,639854.8472641208,5114786.997758145
T0383,Molveno,46.1416,10.9575,835,TA;TP,651185.507633818,5111642.980306578
T0384,Passo Manghen,46.1749,11.4399,2035,TA;TP,688328.6849431902,5116374.227386084
T0389,Predazzo,46.2979,11.5982,1000,TA;TP,700099.2001629032,5130428.157384699
T0392,Telve,46.058,11.4775,410,TA;TP,691635.8850184752,5103475.934738165
T0393,Storo,45.8468,10.5624,385,TA;TP,621313.2788092229,5078213.041968813
T0396,Sarca di Val Genova al Ghiacciaio del Mandrone,46.1864,10.565,2595,TA;TP,620773.4023375358,5115948.514954778
T0397,Cles (Maso Maiano),46.3612,11.0399,655,TA;TP,656921.6911413685,5136202.607315083
T0399,Fondo,46.4377,11.1296,910,TA;TP,663592.9311798048,5144884.3773454465
T0401,Arco (Bruttagosto),45.9104,10.8871,85,TA;TP,646357.3963962651,5085823.853690096
